"Plot Title: Hour4"
"#","Date Time, GMT-07:00","Intensity, Lux (LGR S/N: 1266540, SEN S/N: 1266540, LBL: light)","Max: Temperature, °C (LGR S/N: 1266540)","Min: Temperature, °C (LGR S/N: 1266540)","Avg: Temperature, °C (LGR S/N: 1266540)","Bad Battery (LGR S/N: 1266540)","Coupler Attached (LGR S/N: 1266540)","Host Connected (LGR S/N: 1266540)","Stopped (LGR S/N: 1266540)","End Of File (LGR S/N: 1266540)"
213,05/19/18 08:00:00 AM,279.9,11.916,11.916,11.916,,,,,
214,05/19/18 09:00:00 AM,376.7,11.916,11.916,11.916,,,,,
215,05/19/18 10:00:00 AM,721.2,12.013,12.013,12.013,,,,,
216,05/19/18 11:00:00 AM,882.6,12.110,12.110,12.110,,,,,
217,05/19/18 12:00:00 PM,785.8,12.207,12.207,12.207,,,,,
218,05/19/18 01:00:00 PM,882.6,12.401,12.401,12.401,,,,,
219,05/19/18 02:00:00 PM,592.0,12.497,12.497,12.497,,,,,
220,05/19/18 03:00:00 PM,839.6,12.594,12.594,12.594,,,,,
221,05/19/18 04:00:00 PM,1001.0,12.690,12.690,12.690,,,,,
222,05/19/18 05:00:00 PM,839.6,12.883,12.883,12.883,,,,,
223,05/19/18 06:00:00 PM,699.7,12.883,12.883,12.883,,,,,
224,05/19/18 07:00:00 PM,495.1,12.883,12.883,12.883,,,,,
225,05/19/18 08:00:00 PM,107.6,12.690,12.690,12.690,,,,,
226,05/19/18 09:00:00 PM,0.0,12.690,12.690,12.690,,,,,
227,05/19/18 10:00:00 PM,0.0,12.594,12.594,12.594,,,,,
228,05/19/18 11:00:00 PM,0.0,12.497,12.497,12.497,,,,,
229,05/20/18 12:00:00 AM,0.0,12.401,12.401,12.401,,,,,
230,05/20/18 01:00:00 AM,0.0,12.304,12.304,12.304,,,,,
231,05/20/18 02:00:00 AM,0.0,12.207,12.207,12.207,,,,,
232,05/20/18 03:00:00 AM,0.0,12.110,12.110,12.110,,,,,
233,05/20/18 04:00:00 AM,0.0,12.013,12.013,12.013,,,,,
234,05/20/18 05:00:00 AM,0.0,11.916,11.916,11.916,,,,,
235,05/20/18 06:00:00 AM,0.0,11.916,11.916,11.916,,,,,
236,05/20/18 07:00:00 AM,53.8,11.819,11.819,11.819,,,,,
237,05/20/18 08:00:00 AM,32.3,11.722,11.722,11.722,,,,,
238,05/20/18 09:00:00 AM,301.4,11.625,11.625,11.625,,,,,
239,05/20/18 10:00:00 AM,236.8,11.625,11.625,11.625,,,,,
240,05/20/18 11:00:00 AM,387.5,11.625,11.625,11.625,,,,,
241,05/20/18 12:00:00 PM,645.8,11.625,11.625,11.625,,,,,
242,05/20/18 01:00:00 PM,473.6,11.722,11.722,11.722,,,,,
243,05/20/18 02:00:00 PM,581.3,11.722,11.722,11.722,,,,,
244,05/20/18 03:00:00 PM,495.1,11.722,11.722,11.722,,,,,
245,05/20/18 04:00:00 PM,839.6,11.819,11.819,11.819,,,,,
246,05/20/18 05:00:00 PM,1377.8,11.916,11.916,11.916,,,,,
247,05/20/18 06:00:00 PM,710.4,12.110,12.110,12.110,,,,,
248,05/20/18 07:00:00 PM,344.4,11.916,11.916,11.916,,,,,
249,05/20/18 08:00:00 PM,107.6,11.819,11.819,11.819,,,,,
250,05/20/18 09:00:00 PM,0.0,11.722,11.722,11.722,,,,,
251,05/20/18 10:00:00 PM,0.0,11.528,11.528,11.528,,,,,
252,05/20/18 11:00:00 PM,0.0,11.431,11.431,11.431,,,,,
253,05/21/18 12:00:00 AM,0.0,11.334,11.334,11.334,,,,,
254,05/21/18 01:00:00 AM,0.0,11.334,11.334,11.334,,,,,
255,05/21/18 02:00:00 AM,0.0,11.236,11.236,11.236,,,,,
256,05/21/18 03:00:00 AM,0.0,11.139,11.139,11.139,,,,,
257,05/21/18 04:00:00 AM,0.0,11.041,11.041,11.041,,,,,
258,05/21/18 05:00:00 AM,0.0,11.041,11.041,11.041,,,,,
259,05/21/18 06:00:00 AM,21.5,10.944,10.944,10.944,,,,,
260,05/21/18 07:00:00 AM,183.0,10.944,10.944,10.944,,,,,
261,05/21/18 08:00:00 AM,387.5,11.041,11.041,11.041,,,,,
262,05/21/18 09:00:00 AM,473.6,11.041,11.041,11.041,,,,,
263,05/21/18 10:00:00 AM,904.2,11.236,11.236,11.236,,,,,
264,05/21/18 11:00:00 AM,1065.6,11.334,11.334,11.334,,,,,
265,05/21/18 12:00:00 PM,1259.4,11.528,11.528,11.528,,,,,
266,05/21/18 01:00:00 PM,1001.0,11.625,11.625,11.625,,,,,
267,05/21/18 02:00:00 PM,645.8,11.722,11.722,11.722,,,,,
268,05/21/18 03:00:00 PM,785.8,11.819,11.819,11.819,,,,,
269,05/21/18 04:00:00 PM,4822.3,12.787,12.787,12.787,,,,,
270,05/21/18 05:00:00 PM,1463.9,12.883,12.883,12.883,,,,,
271,05/21/18 06:00:00 PM,495.1,12.883,12.883,12.883,,,,,
272,05/21/18 07:00:00 PM,150.7,12.690,12.690,12.690,,,,,
273,05/21/18 08:00:00 PM,53.8,12.497,12.497,12.497,,,,,
274,05/21/18 09:00:00 PM,0.0,12.304,12.304,12.304,,,,,
275,05/21/18 10:00:00 PM,0.0,12.110,12.110,12.110,,,,,
276,05/21/18 11:00:00 PM,0.0,11.916,11.916,11.916,,,,,
277,05/22/18 12:00:00 AM,0.0,11.722,11.722,11.722,,,,,
278,05/22/18 01:00:00 AM,0.0,11.528,11.528,11.528,,,,,
279,05/22/18 02:00:00 AM,0.0,11.431,11.431,11.431,,,,,
280,05/22/18 03:00:00 AM,0.0,11.334,11.334,11.334,,,,,
281,05/22/18 04:00:00 AM,0.0,11.139,11.139,11.139,,,,,
282,05/22/18 05:00:00 AM,0.0,11.041,11.041,11.041,,,,,
283,05/22/18 06:00:00 AM,43.1,10.944,10.944,10.944,,,,,
284,05/22/18 07:00:00 AM,161.5,10.944,10.944,10.944,,,,,
285,05/22/18 08:00:00 AM,236.8,11.041,11.041,11.041,,,,,
286,05/22/18 09:00:00 AM,247.6,11.139,11.139,11.139,,,,,
287,05/22/18 10:00:00 AM,236.8,11.334,11.334,11.334,,,,,
288,05/22/18 11:00:00 AM,355.2,11.625,11.625,11.625,,,,,
289,05/22/18 12:00:00 PM,1130.2,11.916,11.916,11.916,,,,,
290,05/22/18 01:00:00 PM,1550.0,12.497,12.497,12.497,,,,,
291,05/22/18 02:00:00 PM,538.2,12.690,12.690,12.690,,,,,
292,05/22/18 03:00:00 PM,2325.0,13.654,13.654,13.654,,,,,
293,05/22/18 04:00:00 PM,23422.4,15.282,15.282,15.282,,,,,
294,05/22/18 05:00:00 PM,1980.6,15.282,15.282,15.282,,,,,
295,05/22/18 06:00:00 PM,484.4,15.091,15.091,15.091,,,,,
296,05/22/18 07:00:00 PM,129.2,14.804,14.804,14.804,,,,,
297,05/22/18 08:00:00 PM,43.1,14.517,14.517,14.517,,,,,
298,05/22/18 09:00:00 PM,0.0,14.230,14.230,14.230,,,,,
299,05/22/18 10:00:00 PM,0.0,14.038,14.038,14.038,,,,,
300,05/22/18 11:00:00 PM,0.0,13.846,13.846,13.846,,,,,
301,05/23/18 12:00:00 AM,0.0,13.654,13.654,13.654,,,,,
302,05/23/18 01:00:00 AM,0.0,13.461,13.461,13.461,,,,,
303,05/23/18 02:00:00 AM,0.0,13.365,13.365,13.365,,,,,
304,05/23/18 03:00:00 AM,0.0,13.173,13.173,13.173,,,,,
305,05/23/18 04:00:00 AM,0.0,12.980,12.980,12.980,,,,,
306,05/23/18 05:00:00 AM,0.0,12.883,12.883,12.883,,,,,
307,05/23/18 06:00:00 AM,43.1,12.690,12.690,12.690,,,,,
308,05/23/18 07:00:00 AM,161.5,12.690,12.690,12.690,,,,,
309,05/23/18 08:00:00 AM,269.1,12.690,12.690,12.690,,,,,
310,05/23/18 09:00:00 AM,247.6,12.787,12.787,12.787,,,,,
311,05/23/18 10:00:00 AM,269.1,12.980,12.980,12.980,,,,,
312,05/23/18 11:00:00 AM,409.0,13.173,13.173,13.173,,,,,
313,05/23/18 12:00:00 PM,839.6,13.461,13.461,13.461,,,,,
314,05/23/18 01:00:00 PM,1377.8,13.942,13.942,13.942,,,,,
315,05/23/18 02:00:00 PM,667.4,14.038,14.038,14.038,,,,,
316,05/23/18 03:00:00 PM,2411.1,14.900,14.900,14.900,,,,,
317,05/23/18 04:00:00 PM,23422.4,16.427,16.427,16.427,,,,,
318,05/23/18 05:00:00 PM,3272.2,16.332,16.332,16.332,,,,,
319,05/23/18 06:00:00 PM,495.1,16.046,16.046,16.046,,,,,
320,05/23/18 07:00:00 PM,150.7,15.664,15.664,15.664,,,,,
321,05/23/18 08:00:00 PM,129.2,15.282,15.282,15.282,,,,,
322,05/23/18 09:00:00 PM,0.0,14.996,14.996,14.996,,,,,
323,05/23/18 10:00:00 PM,0.0,14.709,14.709,14.709,,,,,
324,05/23/18 11:00:00 PM,0.0,14.421,14.421,14.421,,,,,
325,05/24/18 12:00:00 AM,0.0,14.134,14.134,14.134,,,,,
326,05/24/18 01:00:00 AM,0.0,14.038,14.038,14.038,,,,,
327,05/24/18 02:00:00 AM,0.0,13.846,13.846,13.846,,,,,
328,05/24/18 03:00:00 AM,0.0,13.750,13.750,13.750,,,,,
329,05/24/18 04:00:00 AM,0.0,13.558,13.558,13.558,,,,,
330,05/24/18 05:00:00 AM,0.0,13.365,13.365,13.365,,,,,
331,05/24/18 06:00:00 AM,10.8,13.173,13.173,13.173,,,,,
332,05/24/18 07:00:00 AM,139.9,13.076,13.076,13.076,,,,,
333,05/24/18 08:00:00 AM,204.5,12.980,12.980,12.980,,,,,
334,05/24/18 09:00:00 AM,344.4,12.883,12.883,12.883,,,,,
335,05/24/18 10:00:00 AM,753.5,12.980,12.980,12.980,,,,,
336,05/24/18 11:00:00 AM,1216.3,13.076,13.076,13.076,,,,,
